scene	split	size	http_etag	sha256
boxes	test	652378968	5cf53aaf-26e28358	063043a1e0381b5813d82f615a215b1cadbf4413e6d63a3e03469752f83bbe9e
buddha	test	738544972	5cf54e9d-2c054d4c	6348f3f453c23e4312e9a82172bc407289ad75a7fff44dd14aba59d2e86a9ee3
cables_1	training	448816030	5cf54968-1ac0639e	682857a3e5f826f16bad3c18a24721a441ad079fe58c2210ec07378c47fcc651
cables_2	training	36859907	5cf54a4e-2327003	cf6e2d74a606b021bb90d0426ad3fd651bf9efbc60220d7c462cf1c8836375ee
cables_3	training	114471353	5cf54a68-6d2b1b9	02a343bf07aee4d3125cf114a28072601a2a0cd8ca41a252d2854f4a285c2c7c
cables_4	test	293631891	5cf5768c-11807793	d7b8bdd4fc89ddbc3e6c52b5533edf43a66ab5975bc6209675793252429923be
cables_5	test	167308166	5cf5771c-9f8eb86	1749fa047d0962268f81fb6003805052fc65194b7b3afa05e0eea10136646db3
camera_shake_1	training	106906542	5cf53f91-65f43ae	e065e9ada5af5ec7adfe2a2c106e4a63206aaaa623dcb058078249d1876f7903
camera_shake_2	training	287563968	5cf53fda-1123e0c0	f3f016864bb27d84666bbd0f1c6b1ecdd58ed2c357beada6332e61e220588195
camera_shake_3	training	90187691	5cf54080-56027ab	fdd0da5b1bb9dca8ee64a68f57ecba126a047da31c0da0dea6487a018ab6828b
ceiling_1	training	564197627	5cf54ac2-21a0f8fb	8b7f5bde7a3719f6fe02d7d348a44cd551aaf7459aa19bee6a0add74080d031f
ceiling_2	training	554979818	5cf54c21-211451ea	0be954430cc9352a1d91095c65898c9a0103ac1cfcf01125dd2ecb855ecd25cc
desk_1	test	279270795	5cf56e0b-10a5558b	2d02d67bf4a5940b62f7932ef9b9a8d84ee3a92fc484f61fdba5026fd08f8f1f
desk_2	test	481061745	5cf57a29-1cac6b71	b31cd324c67017f72e0555707bc7d91818ce3d071df2a86827d3dbfa5184c3be
desk_3	training	788957601	5cf57ceb-2f0689a1	a4c933a6fd15128c1e26fd117f5cff97a18940e0e38cb6defb4dfb340a337fa0
desk_changing_1	training	1407393406	5cf57ebf-53e31e7e	f657b52d1185a745e6e97edbbd53c90be4f1f14601909c5608a218a732fa21f4
desk_changing_2	test	1306672175	5cf5820f-4de23c2f	d508f17256a1cd477c7a33f7d9bf43440a93bf70b9fef57af6db5a17168fd6c1
desk_global_light_changes	test	532357832	5cf57b9e-1fbb22c8	556487708b3391a5073750c5c02fc4def2eda9e3dd4f0e01559be0fa72ffff31
desk_ir_light	test	147508579	5cf57b3a-8cacd63	3b43d730395c56bddc7bd54c0cddf0289e00bb6b748af95ab0c72b88e0753979
dino	test	723967463	5cf55047-2b26dde7	e5c0bc5ef745ae626838395124a06b1355494bb0e73ea7ba2cac4425758b9fb7
drone	test	524453602	5cf536ca-1f4286e2	3fae6cb0da2257cac786cdb09bea4ee3b0ab7c29146847f0cbe83d7e949dd142
einstein_1	training	178381436	5cf559fe-aa1e27c	8e8f1fc9f7c04c8e0d74ac568b757b21dbf16dc8120f7a25d76ce8c55336c192
einstein_2	training	543401360	5cf55a7d-2063a590	ea4e7c3a94e71f6ad54ce18f16e7930d88c7f5dfe2ebd373701daabea8f9a9fc
einstein_flashlight	training	584311811	5cf55db6-22d3e403	c631bdd75ebb8ae2fedae6d60399290b5aaed036ccf5d48f94cfec0cec3e0c92
einstein_global_light_changes_1	training	251918420	5cf55f2d-f03f854	44cdf876f9c06ce498750e0624269ba9efd72877230b1ca4b10167d0b416b96b
einstein_global_light_changes_2	training	170750895	5cf55fd7-a2d73af	7b7d00f9fdfb48d7caa2cf817dab0027de89d07df783e5f3649f87af214e306c
einstein_global_light_changes_3	training	790866552	5cf56071-2f23aa78	243c69117982f32fac425f8fe63c198476b288453165e7d801c51168151a9cbd
foreground_occlusion	test	166047108	5cf57481-9e5ad84	0d232113628a0ffe3370962cb47588ce5251c5465f88d34ced978f7b4d1ceb95
helmet	test	644024456	5cf53952-26630888	1f24f11ae121a7c2740e1718946c940460cbcfc3e7f0fd0f8bae7c046c41513b
kidnap_1	training	320119367	5cf56eb7-1314a247	f82005f5d7995b02386b896426b9ef397990b6ba806683180ccb0c3aaa46ead8
kidnap_2	test	309850252	5cf56f75-1277f08c	73dd21515364a08ee525e6ee7798f6b345c13b537e4bd12be4784f98a5171b2a
lamp	test	359149624	5cf56d3b-15683038	1fc1bcbb3552ef91dbbe756a8176ba99a4101cb48ab33ee7528ce045dc580000
large_loop_1	training	489542109	5cf54231-1d2dd1dd	8adaeb039f04ed9265fdafd619f3e1dfe608326127b445935b3409ac708ddab4
